"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,37645.00,157.00,0.00,0.00,0.00,399.00,82.00,64.00,"Delta Air Lines Inc.","DL","BOS","DCA",7,"715",1,1999,2,4,1,"F",
0.00,1.00,25825.00,119.00,109.00,0.00,0.00,413.00,111.00,86.00,"Delta Air Lines Inc.","DL","BOS","IAD",6,"620",1,1999,2,4,1,"F",
0.00,1.00,47000.00,183.00,47.00,150.00,1900.00,187.00,77.00,58.00,"Delta Air Lines Inc.","DL","BOS","JFK",6,"622",1,1999,2,4,1,"F",
0.00,2.00,63600.00,252.00,133.00,78.00,0.00,187.00,122.00,90.00,"United Air Lines Inc.","UA","BOS","JFK",6,"619",1,1999,2,4,1,"F",
0.00,1.00,75440.00,206.00,51.00,16279.00,6645.00,2611.00,411.00,365.00,"United Air Lines Inc.","UA","BOS","LAX",6,"626",1,1999,2,4,6,"F",
0.00,1.00,34007.00,141.00,116.00,0.00,0.00,185.00,118.00,94.00,"Continental Air Lines Inc.","CO","BOS","LGA",6,"655",1,1999,2,4,1,"F",
0.00,1.00,36300.00,149.00,149.00,270.00,0.00,1260.00,219.00,193.00,"Delta Air Lines Inc.","DL","BOS","LIT",7,"715",1,1999,2,4,3,"F",
0.00,2.00,100000.00,226.00,155.00,0.00,0.00,1674.00,431.00,393.00,"United Parcel Service","5X","BOS","SJU",7,"710",1,1999,2,4,4,"L",
0.00,1.00,25825.00,119.00,101.00,0.00,0.00,1220.00,266.00,244.00,"Delta Air Lines Inc.","DL","BOS","SRQ",6,"620",1,1999,2,4,3,"F",
0.00,4.00,160000.00,680.00,644.00,0.00,0.00,1693.00,889.00,797.00,"Sun Country Airlines d/b/a MN Airlines","SYQ","BOS","STT",7,"715",1,1999,2,4,4,"L",
0.00,1.00,6493.00,30.00,5.00,0.00,0.00,112.00,40.00,27.00,"ExpressJet Airlines LLC","EV","BQK","VLD",4,"461",1,1999,2,4,1,"F",
