"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,34300.00,142.00,44.00,59.00,0.00,77.00,41.00,24.00,"Delta Air Lines Inc.","DL","ABE","MDT",6,"655",1,1999,4,10,1,"F",
0.00,1.00,50340.00,180.00,175.00,25.00,100.00,487.00,84.00,67.00,"Trans World Airways LLC","TW","ABQ","LAS",6,"622",1,1999,4,10,1,"F",
0.00,1.00,20987.00,128.00,80.00,56.00,891.00,677.00,121.00,101.00,"Continental Air Lines Inc.","CO","ABQ","LAX",6,"619",1,1999,4,10,2,"F",
0.00,1.00,30540.00,126.00,87.00,503.00,400.00,677.00,116.00,88.00,"United Air Lines Inc.","UA","ABQ","LAX",6,"698",1,1999,4,10,2,"F",
0.00,1.00,80400.00,252.00,191.00,1726.00,34.00,1552.00,194.00,181.00,"Delta Air Lines Inc.","DL","ABQ","MCO",6,"626",1,1999,4,10,4,"F",
0.00,2.00,59918.00,256.00,235.00,0.00,0.00,328.00,172.00,103.00,"Continental Air Lines Inc.","CO","ABQ","PHX",6,"619",1,1999,4,10,1,"F",
0.00,1.00,6313.00,30.00,12.00,61.00,0.00,248.00,113.00,102.00,"ExpressJet Airlines LLC","EV","ABY","CHA",4,"461",1,1999,4,10,1,"F",
0.00,1.00,6313.00,30.00,30.00,0.00,0.00,81.00,65.00,46.00,"ExpressJet Airlines LLC","EV","ABY","CSG",4,"461",1,1999,4,10,1,"F",
0.00,1.00,6313.00,30.00,5.00,0.00,0.00,86.00,52.00,27.00,"ExpressJet Airlines LLC","EV","ABY","MCN",4,"461",1,1999,4,10,1,"F",
0.00,1.00,22786.00,0.00,0.00,0.00,0.00,699.00,116.00,107.00,"Reliant Airlines","RLQ","ACK","YIP",6,"635",2,1999,4,10,2,"P",
0.00,1.00,50000.00,115.00,102.00,0.00,0.00,345.00,93.00,78.00,"Express One International Inc.","JKQ","ACY","ERI",6,"640",1,1999,4,10,1,"L",
0.00,2.00,63083.00,112.00,83.00,2809.00,4658.00,1192.00,292.00,277.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",7,"711",3,1999,4,10,3,"F",
0.00,1.00,22735.00,58.00,36.00,655.00,659.00,1192.00,200.00,193.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",5,"550",3,1999,4,10,3,"F",
0.00,1.00,14211.00,60.00,29.00,2687.00,190.00,616.00,124.00,114.00,"Reeve Aleutian Airways Inc.","RV","ADK","CDB",5,"550",3,1999,4,10,2,"F",
0.00,26.00,741920.00,1350.00,925.00,199570.00,1227.00,252.00,1305.00,1053.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,1999,4,10,1,"F",
0.00,2.00,73910.00,298.00,202.00,224.00,0.00,143.00,115.00,87.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1999,4,10,1,"F",
0.00,1.00,47000.00,183.00,107.00,0.00,0.00,143.00,65.00,44.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"622",1,1999,4,10,1,"F",
0.00,1.00,5887.00,0.00,0.00,4880.00,0.00,363.00,65.00,55.00,"Reliant Airlines","RLQ","AID","AVL",6,"681",2,1999,4,10,1,"P",
0.00,1.00,5887.00,0.00,0.00,4884.00,0.00,363.00,60.00,50.00,"Reliant Airlines","RLQ","AID","AVL",6,"681",2,1999,4,10,1,"P",
0.00,7.00,156064.00,442.00,312.00,2994.00,4453.00,289.00,428.00,379.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",5,"550",3,1999,4,10,1,"F",
0.00,2.00,40645.00,144.00,56.00,1641.00,3263.00,332.00,143.00,129.00,"Reeve Aleutian Airways Inc.","RV","AKN","CDB",5,"550",3,1999,4,10,1,"F",
0.00,26.00,734440.00,1476.00,790.00,65086.00,124877.00,71.00,682.00,475.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"621",3,1999,4,10,1,"F",
0.00,2.00,70300.00,278.00,37.00,2329.00,295.00,71.00,62.00,40.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"617",1,1999,4,10,1,"F",
0.00,1.00,49200.00,190.00,51.00,0.00,1460.00,136.00,47.00,29.00,"Northwest Airlines Inc.","NW","ALB","LGA",6,"622",1,1999,4,10,1,"F",
0.00,1.00,26040.00,108.00,95.00,0.00,123.00,723.00,131.00,117.00,"United Air Lines Inc.","UA","ALB","ORD",6,"616",1,1999,4,10,2,"F",
0.00,1.00,34100.00,137.00,117.00,0.00,0.00,847.00,112.00,103.00,"Southwest Airlines Co.","WN","AMA","BNA",6,"619",1,1999,4,10,2,"F",
0.00,1.00,29983.00,56.00,36.00,13375.00,2469.00,1192.00,165.00,152.00,"Reeve Aleutian Airways Inc.","RV","ANC","ADK",7,"711",3,1999,4,10,3,"F",
0.00,26.00,741920.00,1350.00,557.00,151017.00,77502.00,252.00,1510.00,1152.00,"Alaska Airlines Inc.","AS","ANC","ADQ",6,"621",3,1999,4,10,1,"F",
0.00,26.00,734440.00,1476.00,629.00,113878.00,165804.00,289.00,1486.00,1195.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"621",3,1999,4,10,1,"F",
0.00,2.00,70300.00,278.00,37.00,3378.00,459.00,289.00,133.00,106.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"617",1,1999,4,10,1,"F",
0.00,2.00,35245.00,144.00,68.00,2283.00,5928.00,289.00,152.00,123.00,"Reeve Aleutian Airways Inc.","RV","ANC","AKN",5,"550",3,1999,4,10,1,"F",
0.00,2.00,410000.00,0.00,0.00,207760.00,0.00,0.00,36.00,0.00,"Evergreen International Inc.","EZ","ANC","ANC",8,"816",2,1999,4,10,1,"P",
0.00,13.00,256501.00,770.00,471.00,4601.00,79602.00,399.00,1142.00,976.00,"Reeve Aleutian Airways Inc.","RV","ANC","BET",5,"550",3,1999,4,10,1,"F",
0.00,55.00,1552410.00,3308.00,2046.00,176947.00,307655.00,399.00,3986.00,3312.00,"Alaska Airlines Inc.","AS","ANC","BET",6,"621",3,1999,4,10,1,"F",
0.00,13.00,462500.00,1820.00,658.00,11014.00,30675.00,399.00,943.00,781.00,"Alaska Airlines Inc.","AS","ANC","BET",6,"617",1,1999,4,10,1,"F",
0.00,8.00,148140.00,444.00,198.00,23268.00,33615.00,621.00,1065.00,962.00,"Reeve Aleutian Airways Inc.","RV","ANC","CDB",5,"550",3,1999,4,10,2,"F",
0.00,16.00,439850.00,1040.00,676.00,46604.00,23122.00,160.00,741.00,527.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"621",3,1999,4,10,1,"F",
0.00,49.00,1336650.00,3432.00,1453.00,134771.00,66754.00,792.00,6176.00,5601.00,"Alaska Airlines Inc.","AS","ANC","DUT",6,"621",3,1999,4,10,2,"F",
0.00,75.00,2127490.00,4122.00,2657.00,273339.00,71835.00,261.00,3990.00,3032.00,"Alaska Airlines Inc.","AS","ANC","FAI",6,"621",3,1999,4,10,1,"F",
0.00,1.00,35630.00,140.00,133.00,26.00,0.00,1584.00,280.00,223.00,"Alaska Airlines Inc.","AS","ANC","GEG",6,"655",1,1999,4,10,4,"F",
0.00,1.00,34845.00,155.00,135.00,250.00,60.00,1584.00,293.00,266.00,"Continental Air Lines Inc.","CO","ANC","GEG",6,"619",1,1999,4,10,4,"F",
0.00,1.00,251000.00,0.00,0.00,216960.00,0.00,3385.00,428.00,369.00,"Evergreen International Inc.","EZ","ANC","JFK",8,"817",2,1999,4,10,7,"P",
0.00,29.00,795600.00,2040.00,1255.00,107641.00,12100.00,571.00,2758.00,2357.00,"Alaska Airlines Inc.","AS","ANC","JNU",6,"621",3,1999,4,10,2,"F",
0.00,4.00,820000.00,0.00,0.00,807220.00,0.00,3127.00,1477.00,1338.00,"Evergreen International Inc.","EZ","ANC","LCK",8,"816",2,1999,4,10,7,"P",
0.00,4.00,1004000.00,0.00,0.00,881700.00,0.00,3127.00,1471.00,1370.00,"Evergreen International Inc.","EZ","ANC","LCK",8,"817",2,1999,4,10,7,"P",
0.00,31.00,890010.00,1622.00,955.00,146879.00,186066.00,539.00,2795.00,2369.00,"Alaska Airlines Inc.","AS","ANC","OME",6,"621",3,1999,4,10,2,"F",
0.00,3.00,105900.00,420.00,74.00,2704.00,19054.00,539.00,279.00,233.00,"Alaska Airlines Inc.","AS","ANC","OME",6,"617",1,1999,4,10,2,"F",
0.00,2.00,502000.00,0.00,0.00,325520.00,0.00,2846.00,667.00,620.00,"Evergreen International Inc.","EZ","ANC","ORD",8,"817",2,1999,4,10,6,"P",
0.00,11.00,321130.00,498.00,299.00,28466.00,119298.00,549.00,956.00,833.00,"Alaska Airlines Inc.","AS","ANC","OTZ",6,"621",3,1999,4,10,2,"F",
0.00,25.00,718890.00,1268.00,287.00,111425.00,5120.00,627.00,2439.00,2147.00,"Alaska Airlines Inc.","AS","ANC","SCC",6,"621",3,1999,4,10,2,"F",
0.00,2.00,502000.00,0.00,0.00,331740.00,0.00,2018.00,575.00,485.00,"Evergreen International Inc.","EZ","ANC","SFO",8,"817",2,1999,4,10,5,"P",
0.00,11.00,2255000.00,0.00,0.00,2124920.00,0.00,2018.00,2961.00,2582.00,"Evergreen International Inc.","EZ","ANC","SFO",8,"816",2,1999,4,10,5,"P",
0.00,2.00,53584.00,96.00,16.00,5304.00,30957.00,767.00,240.00,209.00,"Reeve Aleutian Airways Inc.","RV","ANC","SNP",7,"711",3,1999,4,10,2,"F",
0.00,1.00,19011.00,60.00,20.00,590.00,7959.00,767.00,166.00,141.00,"Reeve Aleutian Airways Inc.","RV","ANC","SNP",5,"550",3,1999,4,10,2,"F",
0.00,1.00,205000.00,0.00,0.00,0.00,0.00,4458.00,543.00,517.00,"Evergreen International Inc.","EZ","ANC","SPN",8,"816",2,1999,4,10,9,"P",
0.00,1.00,34300.00,142.00,71.00,221.00,0.00,692.00,106.00,84.00,"Delta Air Lines Inc.","DL","ATL","ABE",6,"655",1,1999,4,10,2,"F",
